date,percent_full
2025-06-16,75.6
2025-06-09,74.7
2025-06-02,75.1
2025-05-26,76.5
2025-05-19,79.1
2025-05-12,81.7
2025-05-05,83.5
2025-04-28,85.5
2025-04-21,86.6
2025-04-14,88.1
2025-04-07,89.3
2025-03-30,90.9
2025-03-24,94.1
2025-03-17,93.1
2025-03-10,94.6
2025-03-03,95.8
2025-02-24,96.0
2025-02-17,96.6
2025-02-10,96.6
2025-02-03,97.8
2025-01-27,97.7
2025-01-20,96.9
2025-01-13,97.6
2025-01-06,98.0
2024-12-30,96.4
2024-12-23,96.3
2024-12-16,95.2
2024-12-09,95.0
2024-12-02,89.5
2024-11-25,86.7
2024-11-18,78.7
2024-11-11,79.9
2024-11-04,81.8
2024-10-28,82.0
2024-10-21,82.2
2024-10-14,77.0
2024-10-07,75.8
2024-09-30,71.9
2024-09-23,69.7
2024-09-16,70.3
2024-09-09,71.5
2024-09-02,72.1
2024-08-26,73.6
2024-08-19,75.2
2024-08-12,77.3
2024-08-05,79.4
2024-07-29,81.8
2024-07-22,83.8
2024-07-15,84.8
2024-07-08,84.9
2024-07-01,87.3
2024-06-24,90.0
2024-06-17,93.7
2024-06-10,93.7
2024-06-03,95.2
2024-05-20,94.1
2024-05-13,95.3
2024-05-06,96.9
2024-04-29,96.7
2024-04-22,97.7
2024-04-15,98.3
2024-04-08,98.8
2024-04-01,98.4
2024-03-25,98.5
2024-03-18,98.3
2024-03-11,97.6
2024-03-04,97.7
2024-02-26,97.7
2024-02-19,98.0
2024-02-12,97.8
2024-02-05,96.8
2024-01-29,96.4
2024-01-22,95.3
2024-01-15,95.5
2024-01-08,97.3
2023-12-25,97.3
2023-12-18,95.5
2023-12-11,95.6
2023-12-11,95.6
2023-12-05,94.6
2023-11-27,94.9
2023-11-20,95.5
2023-11-13,95.3
2023-11-07,95.2
2023-10-30,92.6
2023-10-23,91.8
2023-10-16,85.3
2023-10-09,82.6
2023-10-01,81.6
2023-09-25,81.1
2023-09-18,76.7
2023-09-11,77.9
2023-09-04,80.0
2023-08-28,81.3
2023-08-21,82.3
2023-08-14,82.1
2023-08-07,83.0
2023-07-31,82.0
2023-07-24,78.8
2023-07-17,77.2
2023-07-10,77.3
2023-07-03,79.4
2023-06-26,81.6
2023-06-19,83.9
2023-06-12,86.2
2023-06-05,88.6
2023-05-28,91.9
2023-05-22,93.8
2023-05-14,95.0
2023-05-08,95.4
2023-05-01,95.1
2023-04-24,96.4
2023-04-16,97.3
2023-04-09,96.8
2023-04-02,96.3
2023-03-26,96.0
2023-03-20,95.2
2023-03-13,92.3
2023-03-06,88.4
2023-02-27,89.2
2023-02-20,89.6
2023-02-13,89.4
2023-02-06,89.9
2023-01-30,89.0
2023-01-23,89.9
2023-01-16,92.4
2023-01-09,89.5
2023-01-02,79.6
